fid,y,x,tree_id,species,health,notes
263,42.47343461,-76.48762953,263,Crabapple,3,
264,42.47331818,-76.48765707,264,Red Maple,5,
265,42.47307787,-76.4876889,265,Hawthorn,5,Cockspur
266,42.47306592,-76.48770797,266,Hawthorn,5,Cockspur
267,42.47299218,-76.4877741,267,Red Pine,1,
268,42.47313512,-76.48778948,268,River Birch,3,
269,42.47318387,-76.48781523,269,Plum,4,Could be a crabapple with dark red leaves
270,42.47322474,-76.48783101,270,White Spruce,3,
271,42.47328443,-76.48786635,271,Red Maple,5,
272,42.47343234,-76.48782332,272,Crabapple,2,
273,42.47345617,-76.48793252,273,Plum,4,Could be a crabapple with dark red leaves
274,42.47361312,-76.48801136,274,Japanese Lilac Tree,4,
275,42.4736577,-76.48791671,275,Common Lilac,4,NULL
276,42.47368527,-76.48783383,276,Japanese Red Maple,2,
277,42.47372162,-76.48775257,277,Common Lilac,3,
278,42.47373864,-76.48772796,278,Common Lilac,3,
279,42.47389986,-76.48790759,279,Hydrangea,5,Panicle. Planted in 2024
280,42.47390086,-76.48763414,280,Barberry,5,
281,42.47393909,-76.48747425,281,Arborvitae,5,Cluster
282,42.4739921,-76.48741966,282,Red Pine,4,
283,42.47405662,-76.4874119,283,Hawthorn,2,Cockspur
284,42.47407493,-76.48738728,284,Hawthorn,3,Cockspur
285,42.47411754,-76.48746342,285,Honey Locust,5,
286,42.47415446,-76.48737935,286,Norway Spruce,4,
287,42.47419888,-76.48739395,287,Norway Spruce,4,
288,42.47423388,-76.48739577,288,Norway Spruce,4,
289,42.47418811,-76.48749432,289,Norway Spruce,4,
290,42.4742185,-76.48751725,290,Norway Spruce,3,
291,42.47426728,-76.48755724,291,Norway Spruce,3,
292,42.47431493,-76.487608,292,Norway Spruce,2,
293,42.47436598,-76.48761415,293,Honey Locust,4,
294,42.47438733,-76.48765127,294,Silver Maple,4,
295,42.47441361,-76.48764652,295,Hawthorn,1,Cockspur
296,42.47444879,-76.48753878,296,Silver Maple,5,
297,42.47445194,-76.4874268,297,Bradford Pear,5,
298,42.47459919,-76.48739595,298,Arborvitae,4,
299,42.47460455,-76.48742865,299,Japanese Red Maple,5,
300,42.47461895,-76.48745419,300,Blue Spruce,5,
301,42.47466206,-76.48740959,301,White Spruce,4,
302,42.47461555,-76.48734192,302,Cornelian Cherry,5,
303,42.4746666,-76.48718965,303,Common Lilac,4,
304,42.47464362,-76.48717832,304,Barberry,5,
305,42.47468021,-76.48706815,305,Cornelian Cherry,5,
306,42.47470857,-76.48696048,306,Ninebark shrub,5,
307,42.47466206,-76.48697894,307,Cornelian Cherry,4,
308,42.47455089,-76.48700201,308,Japanese Lilac Tree,4,
309,42.47448021,-76.48696873,309,White Spruce,4,
310,42.47447213,-76.48698881,310,White Spruce,4,
311,42.4744654,-76.48700888,311,Cypress,5,Sawara  Cluster 2
312,42.47445867,-76.48702896,312,Ninebark,5,Bush
313,42.47444521,-76.48703808,313,White Spruce,5,Cluster of 2
314,42.47450324,-76.48706199,314,Crabapple,4,
315,42.47448056,-76.48718965,315,White Pine,4,
316,42.47444425,-76.48723579,316,Red Maple,5,
317,42.47440682,-76.48728501,317,Littleleaf Linden,5,
318,42.47434896,-76.48723733,318,Silver Maple,5,
319,42.47427168,-76.48716835,319,Common Lilac,4,
320,42.47420376,-76.48712505,320,Plum,5,European
321,42.47414363,-76.48714659,321,White Pine,5,
322,42.47408177,-76.4872735,322,Hawthorn,3,Cockspur. Planted 2024
323,42.47405061,-76.48717889,323,Crabapple,3,
324,42.47408716,-76.4870837,324,Japanese Red Maple,5,
325,42.47409523,-76.4870545,325,Common Lilac,5,
326,42.4740885,-76.48701436,326,Burning Bush,5,Cluster of 3
327,42.47403359,-76.48695895,327,Redbud,4,
328,42.47394624,-76.487042,328,Crabapple,5,
329,42.47386102,-76.48710925,329,Common Lilac,4,
330,42.47385889,-76.48716658,330,Crabapple,4,
331,42.47382122,-76.48713676,331,Arborvitae,3,
332,42.47372616,-76.48710814,332,Honey Locust,5,
333,42.47370622,-76.48713115,333,Hawthorn,4,Cockspur
334,42.47366584,-76.48717678,334,White Spruce,5,
335,42.47361468,-76.48713298,335,Cornelian Cherry,4,
336,42.4736941,-76.48708735,336,Hawthorn,3,Cockspur
337,42.47370891,-76.4870472,337,Mugo Pine,3,Cluster of 3
338,42.47354692,-76.48678669,338,Burr Oak,5,
339,42.47346184,-76.48693895,339,Silver Maple,5,
340,42.47336201,-76.48688358,340,Amur Maple,5,
341,42.473286,-76.48693895,341,Amur Maple,5,
342,42.47314079,-76.48680668,342,White Spruce,3,
343,42.47306025,-76.48685128,343,Norway Spruce,5,
344,42.47296268,-76.48691281,344,Silver Maple,5,Jim Spero
345,42.47301147,-76.48698048,345,Sugar Maple,2,John Meyers
346,42.47297063,-76.48703431,346,Silver Maple,5,
347,42.47286397,-76.4871258,347,Sugar Maple,5,
348,42.47278004,-76.48709583,348,Pin Oak,5,Robert Bechhofer
349,42.47286853,-76.48700047,349,Northern Red Oak,5,Ruth Windmuller
350,42.47281407,-76.48694664,350,Northern Red Oak,5,John Windmuller
351,42.47283676,-76.48689127,351,Silver Maple,5,Thomas Eisner
352,42.47285945,-76.48683744,352,Northern Red Oak,5,Donald Hall
353,42.4729139,-76.48684206,353,Northern Red Oak,5,John Thompson
354,42.47285241,-76.48673401,354,Tulip Tree,5,
355,42.47257215,-76.48650029,355,Bradford Pear,5,
356,42.47252028,-76.4863973,356,Black Locust,3,
357,42.47183204,-76.48646964,357,Red Spruce,3,
358,42.47177196,-76.48637656,358,Norway Spruce,5,
359,42.47182775,-76.48632129,359,Red Spruce,2,
360,42.47177196,-76.48623111,360,Norway Spruce,3,
361,42.47181917,-76.48617293,361,Norway Spruce,5,
362,42.47181917,-76.48600712,362,Norway Spruce,5,
363,42.47176338,-76.48592277,363,Norway Spruce,3,
364,42.47181702,-76.48586459,364,Norway Spruce,3,
365,42.47181487,-76.48571623,365,White Spruce,2,
366,42.47181058,-76.48555915,366,Norway Spruce,5,
367,42.47175265,-76.48547188,367,Norway Spruce,5,
368,42.47174836,-76.48531189,368,Norway Spruce,4,
369,42.47174445,-76.48512883,369,Norway Spruce,5,
370,42.47178483,-76.485085,370,Norway Spruce,5,
371,42.471802,-76.48525953,371,Norway Spruce,5,
372,42.47180844,-76.48540498,372,Norway Spruce,5,
373,42.47253386,-76.48635296,373,Black Locust,5,
374,42.47262462,-76.48635142,374,Bradford Pear,3,
375,42.47273806,-76.48655291,375,Black Locust,4,Cluster
376,42.47286058,-76.48660212,376,Cottonwood,4,
377,42.47314293,-76.486672,377,Red Maple,5,Tom and Patty Davis memorial
378,42.47322134,-76.48668056,378,Amur Maple,1,
379,42.4732333,-76.48649087,379,Bradford Pear,3,Leaf spotting disease
380,42.47334272,-76.48646831,380,Silver Maple,5,Sophia Stillerm memorial
